retweet_count,name
415977,BTS | Yedek 3
390683,ℓєτ 🦋/ inactive for exams
390674,Bts Datos
390673,ʿaddi; exams
390664,.
390656,JaeJae
367768,nadia
291343,Sara
273063,✵Kίηgтαη Sℓανє✵ᴸᴼᵛᴱˢ ᴾᴬᴿᴷ ᴶᴵᴹᴵᴺ
259419,nadia
253762,nadia
240552,Adxiry ^~^
240550,simran
196722,🍁Carra💮
186566,~ CheeseToastie11 ~
186566,Maikonigin
185886,Lexus Jackson
185753,✵Kίηgтαη Sℓανє✵ᴸᴼᵛᴱˢ ᴾᴬᴿᴷ ᴶᴵᴹᴵᴺ
175379,nadia
171617,✵Kίηgтαη Sℓανє✵ᴸᴼᵛᴱˢ ᴾᴬᴿᴷ ᴶᴵᴹᴵᴺ
168076,✵Kίηgтαη Sℓανє✵ᴸᴼᵛᴱˢ ᴾᴬᴿᴷ ᴶᴵᴹᴵᴺ
160877,BANGTAN💜
160874,Bangtans Taekookie
