name,followers_count,friends_count,favourites_count,statuses_count
Alicia Keys,29890922,704,413,7769
Google,20412812,218,1298,88663
WIRED,10378825,338,1855,95038
Chelsea Handler,8295994,430,4080,9322
Rita Ora,6796283,1716,11204,12332
EA SPORTS FIFA,6421488,312,3465,266711
Joyce Meyer,5846461,88,11063,37775
Gmail,5819881,59,157,61916
Human Rights Watch,3774415,18439,2299,79639
College GameDay,2794416,568,679,23964
Wendy's,2787789,1269,30341,147437
Inquirer,2772968,1891,35095,695167
Judd Apatow,2354524,1048,26271,65028
Motivational Quotes,2135911,41213,4358,81361
Southwest Airlines,2101363,37069,7545,704060
JetBlue Airways,1955516,107837,56242,529785
eNCA,1691930,862,10,273146
Nick Offerman,1667031,83,125,6075
The Walking Dead,1622683,5156,15100,26330
